time,Frequency(Kmph),Weight(Kg),fiber1_sensor1,Temperature,change in Bragg Wavelength
0.544,10,0,1538.7008,19.302,2.63E-10
0.554,10,0,1538.7007,19.295,2.63E-10
0.564,10,0,1538.7008,19.302,2.63E-10
0.574,10,0,1538.7009,19.309,2.63E-10
0.584,10,0,1538.7008,19.302,2.63E-10
0.594,10,0,1538.7008,19.302,2.63E-10
0.604,10,0,1538.7008,19.302,2.63E-10
0.614,10,0,1538.701,19.317,2.63E-10
0.624,10,0,1538.7009,19.309,2.63E-10
0.634,10,0,1538.701,19.317,2.63E-10
0.644,10,0,1538.7009,19.309,2.63E-10
0.654,10,0,1538.7012,19.331,2.63E-10
0.664,10,0,1538.7012,19.331,2.63E-10
0.674,10,0,1538.7013,19.339,2.63E-10
0.684,10,0,1538.7013,19.339,2.63E-10
0.694,10,0,1538.7014,19.346,2.63E-10
0.704,10,0,1538.7015,19.353,2.63E-10
0.714,10,0,1538.7015,19.353,2.63E-10
0.724,10,0,1538.7016,19.361,2.64E-10
0.734,10,0,1538.7016,19.361,2.64E-10
0.744,10,0,1538.7017,19.368,2.64E-10
0.754,10,0,1538.7018,19.375,2.64E-10
0.764,10,0,1538.7018,19.375,2.64E-10
0.774,10,0,1538.702,19.39,2.64E-10
0.784,10,0,1538.702,19.39,2.64E-10
0.794,10,0,1538.702,19.39,2.64E-10
0.804,10,0,1538.7022,19.405,2.64E-10
0.814,10,0,1538.7022,19.405,2.64E-10
0.824,10,0,1538.7023,19.412,2.64E-10
0.834,10,0,1538.7024,19.42,2.64E-10
0.844,10,0,1538.7024,19.42,2.64E-10
0.854,10,0,1538.7025,19.427,2.64E-10
0.864,10,0,1538.7026,19.434,2.65E-10
0.874,10,0,1538.7026,19.434,2.65E-10
0.884,10,0,1538.7026,19.434,2.65E-10
0.894,10,0,1538.7027,19.442,2.65E-10
0.904,10,0,1538.7028,19.449,2.65E-10
0.914,10,0,1538.7027,19.442,2.65E-10
0.924,10,0,1538.7028,19.449,2.65E-10
0.934,10,0,1538.7028,19.449,2.65E-10
0.944,10,0,1538.7028,19.449,2.65E-10
0.954,10,0,1538.7029,19.456,2.65E-10
0.964,10,0,1538.7028,19.449,2.65E-10
0.974,10,0,1538.7029,19.456,2.65E-10
0.984,10,0,1538.7029,19.456,2.65E-10
0.994,10,0,1538.703,19.464,2.65E-10
1.004,10,0,1538.7031,19.471,2.65E-10
1.014,10,0,1538.7031,19.471,2.65E-10
1.024,10,0,1538.7032,19.478,2.65E-10
1.034,10,0,1538.7031,19.471,2.65E-10
1.044,10,0,1538.7033,19.486,2.65E-10
1.054,10,0,1538.7031,19.471,2.65E-10
1.064,10,0,1538.7033,19.486,2.65E-10
1.074,10,0,1538.7033,19.486,2.65E-10
1.084,10,0,1538.7033,19.486,2.65E-10
1.094,10,0,1538.7034,19.493,2.65E-10
1.104,10,0,1538.7034,19.493,2.65E-10
1.114,10,0,1538.7035,19.5,2.65E-10
1.124,10,0,1538.7035,19.5,2.65E-10
1.134,10,0,1538.7036,19.508,2.66E-10
1.144,10,0,1538.7036,19.508,2.66E-10
1.154,10,0,1538.7037,19.515,2.66E-10
1.164,10,0,1538.7036,19.508,2.66E-10
1.174,10,0,1538.7037,19.515,2.66E-10
1.184,10,0,1538.7038,19.522,2.66E-10
1.194,10,0,1538.7037,19.515,2.66E-10
1.204,10,0,1538.7038,19.522,2.66E-10
1.214,10,0,1538.7038,19.522,2.66E-10
1.224,10,0,1538.7039,19.53,2.66E-10
1.234,10,0,1538.7039,19.53,2.66E-10
1.244,10,0,1538.704,19.537,2.66E-10
1.254,10,0,1538.7038,19.522,2.66E-10
1.264,10,0,1538.704,19.537,2.66E-10
1.274,10,0,1538.7039,19.53,2.66E-10
1.284,10,0,1538.704,19.537,2.66E-10
1.294,10,0,1538.704,19.537,2.66E-10
1.304,10,0,1538.7041,19.544,2.66E-10
1.314,10,0,1538.7041,19.544,2.66E-10
1.324,10,0,1538.7041,19.544,2.66E-10
1.334,10,0,1538.7043,19.559,2.66E-10
1.344,10,0,1538.7043,19.559,2.66E-10
1.354,10,0,1538.7043,19.559,2.66E-10
1.364,10,0,1538.7045,19.574,2.66E-10
1.374,10,0,1538.7044,19.566,2.66E-10
1.384,10,0,1538.7045,19.574,2.66E-10
1.394,10,0,1538.7046,19.581,2.67E-10
1.404,10,0,1538.7045,19.574,2.66E-10
1.414,10,0,1538.7046,19.581,2.67E-10
1.424,10,0,1538.7047,19.588,2.67E-10
1.434,10,0,1538.7047,19.588,2.67E-10
1.444,10,0,1538.7047,19.588,2.67E-10
1.454,10,0,1538.7049,19.603,2.67E-10
1.464,10,0,1538.7048,19.596,2.67E-10
1.474,10,0,1538.7051,19.618,2.67E-10
1.484,10,0,1538.705,19.61,2.67E-10
1.494,10,0,1538.7051,19.618,2.67E-10
1.504,10,0,1538.7052,19.625,2.67E-10
1.514,10,0,1538.7053,19.633,2.67E-10
1.524,10,0,1538.7052,19.625,2.67E-10
1.534,10,0,1538.7054,19.64,2.67E-10
1.544,10,0,1538.7054,19.64,2.67E-10
1.554,10,0,1538.7054,19.64,2.67E-10
1.564,10,0,1538.7056,19.655,2.68E-10
1.574,10,0,1538.7055,19.647,2.67E-10
1.584,10,0,1538.7055,19.647,2.67E-10
1.594,10,0,1538.7056,19.655,2.68E-10
1.604,10,0,1538.7056,19.655,2.68E-10
1.614,10,0,1538.7056,19.655,2.68E-10
1.624,10,0,1538.7057,19.662,2.68E-10
1.634,10,0,1538.7058,19.669,2.68E-10
1.644,10,0,1538.7058,19.669,2.68E-10
1.654,10,0,1538.7059,19.677,2.68E-10
1.664,10,0,1538.7059,19.677,2.68E-10
1.674,10,0,1538.7061,19.691,2.68E-10
1.684,10,0,1538.706,19.684,2.68E-10
1.694,10,0,1538.7061,19.691,2.68E-10
1.704,10,0,1538.7061,19.691,2.68E-10
1.714,10,0,1538.7062,19.699,2.68E-10
1.724,10,0,1538.7061,19.691,2.68E-10
1.734,10,0,1538.7063,19.706,2.68E-10
1.744,10,0,1538.7064,19.713,2.68E-10
1.754,10,0,1538.7063,19.706,2.68E-10
1.764,10,0,1538.7064,19.713,2.68E-10
1.774,10,0,1538.7065,19.721,2.68E-10
1.784,10,0,1538.7064,19.713,2.68E-10
1.794,10,0,1538.7066,19.728,2.69E-10
1.804,10,0,1538.7066,19.728,2.69E-10
1.814,10,0,1538.7066,19.728,2.69E-10
1.824,10,0,1538.7067,19.735,2.69E-10
1.834,10,0,1538.7067,19.735,2.69E-10
1.844,10,0,1538.7068,19.743,2.69E-10
1.854,10,0,1538.7069,19.75,2.69E-10
1.864,10,0,1538.7068,19.743,2.69E-10
1.874,10,0,1538.7068,19.743,2.69E-10
1.884,10,0,1538.707,19.757,2.69E-10
1.894,10,0,1538.7069,19.75,2.69E-10
1.904,10,0,1538.707,19.757,2.69E-10
1.914,10,0,1538.707,19.757,2.69E-10
1.924,10,0,1538.7071,19.765,2.69E-10
1.934,10,0,1538.707,19.757,2.69E-10
1.944,10,0,1538.7072,19.772,2.69E-10
1.954,10,0,1538.7071,19.765,2.69E-10
1.964,10,0,1538.7071,19.765,2.69E-10
1.974,10,0,1538.7072,19.772,2.69E-10
1.984,10,0,1538.7072,19.772,2.69E-10
1.994,10,0,1538.7072,19.772,2.69E-10
2.004,10,0,1538.7073,19.779,2.69E-10
2.014,10,0,1538.7073,19.779,2.69E-10
2.024,10,0,1538.7073,19.779,2.69E-10
2.034,10,0,1538.7074,19.787,2.69E-10
2.044,10,0,1538.7073,19.779,2.69E-10
2.054,10,0,1538.7072,19.772,2.69E-10
2.064,10,0,1538.7074,19.787,2.69E-10
2.074,10,0,1538.7072,19.772,2.69E-10
2.084,10,0,1538.7074,19.787,2.69E-10
2.094,10,0,1538.7074,19.787,2.69E-10
2.104,10,0,1538.7074,19.787,2.69E-10
2.114,10,0,1538.7075,19.794,2.69E-10
2.124,10,0,1538.7075,19.794,2.69E-10
2.134,10,0,1538.7074,19.787,2.69E-10
2.144,10,0,1538.7074,19.787,2.69E-10
2.154,10,0,1538.7075,19.794,2.69E-10
2.164,10,0,1538.7074,19.787,2.69E-10
2.174,10,0,1538.7075,19.794,2.69E-10
2.184,10,0,1538.7075,19.794,2.69E-10
2.194,10,0,1538.7074,19.787,2.69E-10
2.204,10,0,1538.7074,19.787,2.69E-10
2.214,10,0,1538.7074,19.787,2.69E-10
2.224,10,0,1538.7075,19.794,2.69E-10
2.234,10,0,1538.7075,19.794,2.69E-10
2.244,10,0,1538.7075,19.794,2.69E-10
2.254,10,0,1538.7075,19.794,2.69E-10
2.264,10,0,1538.7076,19.801,2.70E-10
2.274,10,0,1538.7074,19.787,2.69E-10
2.284,10,0,1538.7077,19.809,2.70E-10
2.294,10,0,1538.7076,19.801,2.70E-10
2.304,10,0,1538.7076,19.801,2.70E-10
2.314,10,0,1538.7076,19.801,2.70E-10
2.324,10,0,1538.7077,19.809,2.70E-10
2.334,10,0,1538.7076,19.801,2.70E-10
2.344,10,0,1538.7076,19.801,2.70E-10
2.354,10,0,1538.7077,19.809,2.70E-10
2.364,10,0,1538.7076,19.801,2.70E-10
2.374,10,0,1538.7077,19.809,2.70E-10
